Group,Sample,length_mm,mass_g,coulter1,count1,coulter2,count2,coulter3,count3,avg_coulter,avg_count,ab540,RBC_mm,column_mm,PCV,conc_HB_mgml,conc_HB_gmdL,hemo_rawcount,avgcell_count,conc_cells_mm3,MEH,MEV,MEHC
D,D2-3,127,5.9,48.4069,37698,48.4069,36904,50.2336,37152,49.0158,37251.33333,0.146,11,55,20,82.54686301,8.254686301,68,13.6,340000,242.7848912,588.2352941,41.27343151
D,D2-4,104,3.3,50.2336,13623,48.4069,10144,48.4069,9816,49.0158,11194.33333,,10,38.5,26,,,,,,,,
D,D2-5,109,3.9,53.887,51659,52.0603,51011,52.0603,51144,52.6692,51271.33333,,13,42,31,,,,,,,,
D,D2-6,126,5.9,50.2336,40303,52.0603,40167,50.2336,40059,50.8425,40176.33333,0.172,8,34,24,97.45313699,9.745313699,121,24.2,605000,161.0795653,396.6942149,40.60547375
D,D2-7,125,5.4,50.2336,38210,48.4069,38424,48.4069,38216,49.0158,38283.33333,,6,34,18,,,78,15.6,390000,,461.5384615,
D,D2-8,124,5.2,50.2336,25905,50.2336,25906,50.2336,26009,50.2336,25940,0.118,5,44,11,66.49395257,6.649395257,73,14.6,365000,182.1752125,301.369863,60.44904779
D,D2-9,128,7,50.2336,33631,50.2336,33932,50.2336,33446,50.2336,33669.66667,0.152,7,38,18,85.98677239,8.598677239,105,21,525000,163.7843284,342.8571429,47.77042911
D,D2-10,133,7.1,52.0603,42569,50.2336,39348,50.2336,39369,50.8425,40428.66667,0.126,6,29,21,71.08049841,7.108049841,80,16,400000,177.701246,525,33.84785639
D,D2-11,116,5,52.0603,28219,50.2336,27931,52.0603,28211,51.4514,28120.33333,0.154,6,37.5,37,87.13340885,8.713340885,70,14,350000,248.9525967,1057.142857,23.54956996
D,D2-12,115,4.6,50.2336,43369,50.2336,43307,50.2336,43316,50.2336,43330.66667,,9,61,15,,,52,10.4,260000,,576.9230769,
D,D3-1,119,5,48.4069,31741,50.2336,32565,48.4069,31746,49.0158,32017.33333,,7,35,20,,,64,12.8,320000,,625,
